"","values","value2"
"5908",1.1,1.1
"5909",NA,NA
"5910",1.3,1.3
"5911",NA,NA
"5912",1.7,1.7
"5913",NA,NA
"5914",1.7,1.7
"5915",NA,NA
"5916",1.8,1.8
"5917",NA,NA
"5918",1.4,1.4
"5919",NA,NA
"5920",1.1,1.1
"5921",NA,NA
"5922",1.3,1.3
"5923",NA,NA
"5924",0.9,0.9
"5925",NA,NA
"5926",1.2,1.2
"5927",NA,NA
"5928",0.9,0.9
"5929",NA,NA
"5930",1.2,1.2
"5931",NA,NA
"5932",1.2,1.2
"5933",NA,NA
"5934",1.3,1.3
"5935",NA,NA
"5936",1.6,1.6
"5937",NA,NA
"5938",1.4,1.4
"5939",NA,NA
"5940",1.3,1.3
"5941",NA,NA
"5942",1.1,1.1
"5943",NA,NA
"5944",1.1,1.1
"5945",NA,NA
"5946",1.1,1.1
"5947",NA,NA
"5948",0.9,0.9
"5949",NA,NA
"5950",1.2,1.2
"5951",NA,NA
"5952",1.3,1.3
"5953",NA,NA
"5954",1.5,1.5
"5955",NA,NA
"5956",1.4,1.4
"5957",NA,NA
"5958",NA,NA
"5959",NA,NA
"5960",NA,NA
"5961",NA,NA
"5962",NA,NA
"5963",NA,NA
"5964",NA,NA
"5965",NA,NA
"5966",NA,NA
"5967",NA,NA
"5968",NA,NA
"5969",NA,NA
"5970",NA,NA
"5971",NA,NA
"5972",NA,NA
"5973",NA,NA
"5974",NA,NA
"5975",NA,NA
"5976",NA,NA
"5977",NA,NA
"5978",NA,NA
"5979",NA,NA
"5980",NA,NA
"5981",NA,NA
"5982",NA,NA
"5983",NA,NA
"5984",0.3,0.3
"5985",NA,NA
"5986",0.4,0.4
"5987",NA,NA
"5988",0.4,0.4
"5989",NA,NA
"5990",0.6,0.6
"5991",NA,NA
"5992",0.9,0.9
"5993",NA,NA
"5994",0.7,0.7
"5995",NA,NA
"5996",0.5,0.5
"5997",NA,NA
"5998",0.7,0.7
"5999",NA,NA
"6000",0.4,0.4
"6001",NA,NA
"6002",0.6,0.6
"6003",NA,NA
"6004",0.5,0.5
"6005",NA,NA
"6006",0.5,0.5
"6007",NA,NA
"6008",0.7,0.7
"6009",NA,NA
"6010",0.6,0.6
"6011",NA,NA
"6012",1,1
"6013",NA,NA
"6014",0.5,0.5
"6015",NA,NA
"6016",0.3,0.3
"6017",NA,NA
"6018",0.2,0.2
"6019",NA,NA
"6020",0.5,0.5
"6021",NA,NA
"6022",0.5,0.5
"6023",NA,NA
"6024",0.9,0.9
"6025",NA,NA
"6026",0.3,0.3
"6027",NA,NA
"6028",0.1,0.1
"6029",NA,NA
"6030",1,1
"6031",NA,NA
"6032",0.6,0.6
"6033",NA,NA
"6034",0.8,0.8
"6035",NA,NA
"6036",0.5,0.5
"6037",NA,NA
"6038",0.6,0.6
"6039",NA,NA
"6040",0.7,0.7
"6041",NA,NA
"6042",0.6,0.6
"6043",NA,NA
"6044",0.6,0.6
"6045",NA,NA
"6046",0.7,0.7
"6047",NA,NA
"6048",0.8,0.8
"6049",NA,NA
"6050",0.6,0.6
"6051",NA,NA
