"","values","value2"
"860",13.2,13.2
"861",9,9
"862",13.6,13.6
"863",8.7,8.7
"864",13.8,13.8
"865",9.4,9.4
"866",12.8,12.8
"867",5.8,5.8
"868",10.8,10.8
"869",3.5,3.5
"870",11.8,11.8
"871",2.2,2.2
"872",13.4,13.4
"873",0.3,0.3
"874",7.8,7.8
"875",0.3,0.3
"876",8.4,8.4
"877",0.33,0.33
"878",8.8,8.8
"879",0.14,0.14
"880",7.2,7.2
"881",0.19,0.19
"882",12.1,12.1
"883",0.2,0.2
"884",9,9
"885",1.8,1.8
"886",9.9,9.9
"887",7.3,7.3
"888",9.4,9.4
"889",7.8,7.8
"890",9.4,9.4
"891",6,6
"892",10,10
"893",10.8,10.8
"894",13.4,13.4
"895",10.5,10.5
"896",13.9,13.9
"897",7.5,7.5
"898",12.8,12.8
"899",1,1
"900",8.5,8.5
"901",1.6,1.6
"902",8.2,8.2
"903",0.4,0.4
"904",8.3,8.3
"905",0.26,0.26
"906",10.2,10.2
"907",0.24,0.24
"908",7,7
"909",0.39,0.39
"910",8.2,8.2
"911",0.33,0.33
"912",7.4,7.4
"913",0.5,0.5
"914",9.6,9.6
"915",4.2,4.2
"916",10.3,10.3
"917",6.4,6.4
"918",11,11
"919",6.9,6.9
"920",11.7,11.7
"921",10.3,10.3
"922",13.3,13.3
"923",9.3,9.3
"924",12.5,12.5
"925",8.2,8.2
"926",12.4,12.4
"927",2.4,2.4
"928",10.5,10.5
"929",0.7,0.7
"930",9.5,9.5
"931",0.16,0.16
"932",9.9,9.9
"933",0.19,0.19
"934",9.5,9.5
"935",0.19,0.19
"936",8.1,8.1
"937",0.18,0.18
"938",8.1,8.1
"939",4.2,4.2
"940",7.3,7.3
"941",1.7,1.7
"942",8.1,8.1
"943",0.6,0.6
"944",8.1,8.1
"945",0.56,0.56
"946",9.2,9.2
"947",5.9,5.9
"948",11.3,11.3
"949",7.1,7.1
"950",11.3,11.3
"951",6.8,6.8
"952",12.4,12.4
"953",5.5,5.5
"954",11.9,11.9
"955",5.1,5.1
"956",11.7,11.7
"957",1.04,1.04
"958",12.2,12.2
"959",1.9,1.9
"960",8,8
"961",0.49,0.49
"962",6.8,6.8
"963",0.29,0.29
"964",7.3,7.3
"965",0.26,0.26
"966",10.5,10.5
"967",0.26,0.26
"968",8.3,8.3
"969",0.58,0.58
"970",9,9
"971",1.2,1.2
"972",6.2,6.2
"973",3.2,3.2
"974",8.6,8.6
"975",7.4,7.4
"976",10.5,10.5
"977",6,6
"978",11.5,11.5
"979",7.4,7.4
"980",12.3,12.3
"981",8.8,8.8
"982",12.3,12.3
"983",7.4,7.4
"984",12.7,12.7
"985",4.5,4.5
"986",11,11
"987",2.07,2.07
"988",11.6,11.6
"989",0.39,0.39
"990",7.4,7.4
"991",0.34,0.34
"992",9,9
"993",0.29,0.29
"994",11,11
"995",0.29,0.29
"996",8.5,8.5
"997",0.27,0.27
"998",7.4,7.4
"999",2.8,2.8
"1000",8.8,8.8
"1001",8.8,8.8
"1002",11.2,11.2
"1003",8.9,8.9
"1004",12.5,12.5
"1005",10.1,10.1
"1006",13.8,13.8
"1007",10.3,10.3
"1008",13.8,13.8
"1009",5.3,5.3
"1010",10,10
"1011",3,3
"1012",14.3,14.3
"1013",0.27,0.27
"1014",9.9,9.9
"1015",0.3,0.3
"1016",7.9,7.9
"1017",NA,NA
"1018",NA,NA
"1019",NA,NA
"1020",NA,NA
"1021",NA,NA
"1022",NA,NA
"1023",NA,NA
"1024",NA,NA
"1025",NA,NA
"1026",NA,NA
"1027",NA,NA
"1028",NA,NA
"1029",NA,NA
"1030",NA,NA
"1031",NA,NA
"1032",NA,NA
"1033",NA,NA
"1034",NA,NA
"1035",NA,NA
"1036",NA,NA
"1037",NA,NA
"1038",NA,NA
"1039",NA,NA
"1040",NA,NA
