,station,date,layer,secchi,chla,do,tn,tp,po4f,pp,tdp,no23f,nh4f,tdn,pn,tss
5499,CB3.3C,1994-11-15,B,,,,,,,,,,,,,
5500,CB3.3C,1994-11-15,S,,,,,,,,,,,,,
5501,CB3.3C,1994-12-13,B,,,,,,,,,,,,,
5502,CB3.3C,1994-12-13,S,,,,,,,,,,,,,
5503,CB3.3C,1995-01-10,B,,,,,,,,,,,,,
5504,CB3.3C,1995-01-10,S,,,,,,,,,,,,,
5505,CB3.3C,1995-02-14,B,,,,,,,,,,,,,
5506,CB3.3C,1995-02-14,S,,,,,,,,,,,,,
5507,CB3.3C,1995-03-07,B,,,,,,,,,,,,,
5508,CB3.3C,1995-03-07,S,,,,,,,,,,,,,
5509,CB3.3C,1995-03-21,B,,,,,,,,,,,,,
5510,CB3.3C,1995-03-21,S,,,,,,,,,,,,,
5511,CB3.3C,1995-04-11,B,,,,,,,,,,,,,
5512,CB3.3C,1995-04-11,S,,,,,,,,,,,,,
5513,CB3.3C,1995-04-25,B,,,,,,,,,,,,,
5514,CB3.3C,1995-04-25,S,,,,,,,,,,,,,
5515,CB3.3C,1995-05-09,B,,,,,,,,,,,,,
5516,CB3.3C,1995-05-09,S,,,,,,,,,,,,,
5517,CB3.3C,1995-05-23,B,,,,,,,,,,,,,
5518,CB3.3C,1995-05-23,S,,,,,,,,,,,,,
5519,CB3.3C,1995-06-06,B,,,,,,,,,,,,,
5520,CB3.3C,1995-06-06,S,,,,,,,,,,,,,
5521,CB3.3C,1995-06-20,B,,,,,,,,,,,,,
5522,CB3.3C,1995-06-20,S,,,,,,,,,,,,,
5523,CB3.3C,1995-07-11,B,,,,,,,,,,,,,
5524,CB3.3C,1995-07-11,S,,,,,,,,,,,,,
5525,CB3.3C,1995-07-25,B,,,,,,,,,,,,,
5526,CB3.3C,1995-07-25,S,,,,,,,,,,,,,
5527,CB3.3C,1995-08-08,B,,,,,,,,,,,,,
5528,CB3.3C,1995-08-08,S,,,,,,,,,,,,,
5529,CB3.3C,1995-08-22,B,,,,,,,,,,,,,
5530,CB3.3C,1995-08-22,S,,,,,,,,,,,,,
5531,CB3.3C,1995-09-06,B,,,,,,,,,,,,,
5532,CB3.3C,1995-09-06,S,,,,,,,,,,,,,
5533,CB3.3C,1995-09-19,B,,,,,,,,,,,,,
5534,CB3.3C,1995-09-19,S,,,,,,,,,,,,,
5535,CB3.3C,1995-10-03,B,,,,,,,,,,,,,
5536,CB3.3C,1995-10-03,S,,,,,,,,,,,,,
5537,CB3.3C,1995-10-17,B,,,,,,,,,,,,,
