"station"	"date"	"layer"	"no23f..Data.values"	"no23f..Data.value2"	"no23f.remark.codes"	"no23f.value.codes"	"no23f.reporting.level"	"no23f.reporting.method"	"no23f.reporting.units"	"no23f.analyte.method"	"no23f.analyte.name"	"no23f.unique.code"
"CB3.3C"	1987-10-20	"B"	 0.05050	 0.05050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"S"	 0.46900	 0.46900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"B"	 0.07900	 0.07900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"S"	 0.35300	 0.35300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"B"	 0.11600	 0.11600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"S"	 0.64000	 0.64000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"B"	 0.16950	 0.16950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"S"	 0.55200	 0.55200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"B"	 0.35900	 0.35900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"S"	 0.62800	 0.62800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"B"	 0.13850	 0.13850	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"S"	 1.20000	 1.20000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"B"	 0.29350	 0.29350	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"S"	 0.85600	 0.85600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"B"	 0.18300	 0.18300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"S"	 0.69300	 0.69300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"B"	 0.23250	 0.23250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"S"	 0.77200	 0.77200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"B"	 0.21900	 0.21900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"S"	 0.57000	 0.57000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"B"	 0.18350	 0.18350	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"S"	 0.74600	 0.74600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"B"	 0.00425	 0.00425	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"S"	 0.22100	 0.22100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"B"	 0.00385	 0.00385	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"S"	 0.07700	 0.07700	" "	""	NA	""	""	""	""	""
