"station"	"date"	"layer"	"tp..Data.values"	"tp..Data.value2"	"tp.remark.codes"	"tp.value.codes"	"tp.reporting.level"	"tp.reporting.method"	"tp.reporting.units"	"tp.analyte.method"	"tp.analyte.name"	"tp.unique.code"
"CB3.3C"	1988-05-24	"B"	0.01725	0.01725	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"S"	0.03140	0.03140	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"B"	0.04830	0.04830	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"S"	0.06340	0.06340	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"B"	0.03700	0.03700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"S"	0.04120	0.04120	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"B"	0.03210	0.03210	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"S"	0.03410	0.03410	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"B"	0.06415	0.06415	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"S"	0.07370	0.07370	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"B"	0.07705	0.07705	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"S"	0.09670	0.09670	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"B"	0.06840	0.06840	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"S"	0.05870	0.05870	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"B"	0.06820	0.06820	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"S"	0.04890	0.04890	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"B"	0.04280	0.04280	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"S"	0.03570	0.03570	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"B"	0.04680	0.04680	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"S"	0.03030	0.03030	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"B"	0.02625	0.02625	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"S"	0.03090	0.03090	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"B"	0.04955	0.04955	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"S"	0.02060	0.02060	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"B"	0.05550	0.05550	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"S"	0.02970	0.02970	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"B"	0.02215	0.02215	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"S"	0.01500	0.01500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"B"	0.03045	0.03045	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"S"	0.02120	0.02120	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"S"	0.01640	0.01640	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"B"	0.06515	0.06515	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"S"	0.03080	0.03080	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"B"	0.05435	0.05435	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"S"	0.02470	0.02470	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"B"	0.03730	0.03730	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"S"	0.02030	0.02030	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"B"	0.02615	0.02615	" "	""	NA	""	""	""	""	""
