"station"	"date"	"layer"	"pn..Data.values"	"pn..Data.value2"	"pn.remark.codes"	"pn.value.codes"	"pn.reporting.level"	"pn.reporting.method"	"pn.reporting.units"	"pn.analyte.method"	"pn.analyte.name"	"pn.unique.code"
"CB3.3C"	1988-08-09	"B"	 0.10700	 0.10700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"S"	 0.80900	 0.80900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"B"	 0.08805	 0.08805	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"S"	 0.38800	 0.38800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"B"	 0.09575	 0.09575	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"S"	 0.20800	 0.20800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"B"	 0.07840	 0.07840	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"S"	 0.19900	 0.19900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"B"	 0.08320	 0.08320	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"S"	 0.11200	 0.11200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"B"	 0.12050	 0.12050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"S"	 0.16700	 0.16700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"B"	 0.16750	 0.16750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"S"	 0.08740	 0.08740	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"B"	 0.29050	 0.29050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"S"	 0.12300	 0.12300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"B"	 0.13050	 0.13050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"S"	 0.16400	 0.16400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"B"	 0.05210	 0.05210	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"S"	 0.28900	 0.28900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"B"	 0.04855	 0.04855	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"S"	 0.17100	 0.17100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"B"	 0.09150	 0.09150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"S"	 0.27100	 0.27100	" "	""	NA	""	""	""	""	""
