"station"	"date"	"layer"	"po4f..Data.values"	"po4f..Data.value2"	"po4f.remark.codes"	"po4f.value.codes"	"po4f.reporting.level"	"po4f.reporting.method"	"po4f.reporting.units"	"po4f.analyte.method"	"po4f.analyte.name"	"po4f.unique.code"
"CB3.3C"	1989-06-13	"S"	 0.005500	 0.005500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"B"	 0.018750	 0.018750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"S"	 0.013700	 0.013700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"B"	 0.078600	 0.078600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"S"	 0.005600	 0.005600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"B"	 0.081050	 0.081050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"S"	 0.007300	 0.007300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"B"	 0.046950	 0.046950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"S"	 0.009700	 0.009700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"B"	 0.011300	 0.011300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"S"	 0.011300	 0.011300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"B"	 0.007400	 0.007400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"S"	 0.002600	 0.002600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"B"	 0.017450	 0.017450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"S"	 0.006700	 0.006700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"B"	 0.024500	 0.024500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"S"	 0.002600	 0.002600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"B"	 0.002400	 0.002400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"S"	 0.001500	 0.001500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"B"	 0.023450	 0.023450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"S"	 0.003600	 0.003600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"B"	 0.007400	 0.007400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"S"	 0.004700	 0.004700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"B"	 0.048300	 0.048300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"S"	 0.008200	 0.008200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"B"	 0.052800	 0.052800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"S"	 0.015200	 0.015200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"B"	 0.074100	 0.074100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"S"	 0.008900	 0.008900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"B"	 0.012150	 0.012150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"S"	 0.009500	 0.009500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"B"	 0.003650	 0.003650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"S"	 0.003200	 0.003200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"B"	 0.002200	 0.002200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"S"	 0.001700	 0.001700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"B"	 0.010950	 0.010950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"S"	 0.002100	 0.002100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"B"	 0.003600	 0.003600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"S"	 0.003000	 0.003000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"B"	 0.015050	 0.015050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"S"	 0.002900	 0.002900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"B"	 0.072650	 0.072650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"S"	 0.011900	 0.011900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"B"	 0.067950	 0.067950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"S"	 0.005200	 0.005200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"B"	 0.085650	 0.085650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"S"	 0.002400	 0.002400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"B"	 0.058500	 0.058500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"S"	 0.018300	 0.018300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"B"	 0.024800	 0.024800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"S"	 0.008900	 0.008900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-17	"B"	 0.035500	 0.035500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-17	"S"	 0.005900	 0.005900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-02	"B"	 0.009550	 0.009550	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-02	"S"	 0.004300	 0.004300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-15	"B"	 0.013600	 0.013600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-15	"S"	 0.003500	 0.003500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-11-05	"B"	 0.009250	 0.009250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-11-05	"S"	 0.006900	 0.006900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-12-03	"B"	 0.010900	 0.010900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-12-03	"S"	 0.003600	 0.003600	" "	""	NA	""	""	""	""	""
