"station"	"date"	"layer"	"pp..Data.values"	"pp..Data.value2"	"pp.remark.codes"	"pp.value.codes"	"pp.reporting.level"	"pp.reporting.method"	"pp.reporting.units"	"pp.analyte.method"	"pp.analyte.name"	"pp.unique.code"
"CB3.3C"	1988-10-04	"B"	 0.01380	 0.01380	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"S"	 0.01500	 0.01500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"B"	 0.01610	 0.01610	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"S"	 0.01780	 0.01780	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"B"	 0.03525	 0.03525	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"S"	 0.00880	 0.00880	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"B"	 0.03935	 0.03935	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"S"	 0.01880	 0.01880	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"B"	 0.01815	 0.01815	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"S"	 0.01160	 0.01160	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"B"	 0.02195	 0.02195	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"S"	 0.01330	 0.01330	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"S"	 0.01260	 0.01260	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"B"	 0.05775	 0.05775	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"S"	 0.02020	 0.02020	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"B"	 0.05120	 0.05120	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"S"	 0.01490	 0.01490	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"B"	 0.03370	 0.03370	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"S"	 0.01140	 0.01140	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"B"	 0.02035	 0.02035	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"S"	 0.03210	 0.03210	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"B"	 0.00555	 0.00555	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"S"	 0.02190	 0.02190	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"B"	 0.01305	 0.01305	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"S"	 0.02950	 0.02950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"B"	 0.01470	 0.01470	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"S"	 0.02580	 0.02580	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"B"	 0.01615	 0.01615	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"S"	 0.04730	 0.04730	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"B"	 0.01540	 0.01540	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"S"	 0.02730	 0.02730	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"B"	 0.01575	 0.01575	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"S"	 0.07260	 0.07260	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"B"	 0.01955	 0.01955	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"S"	 0.04060	 0.04060	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"B"	 0.02700	 0.02700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"S"	 0.01590	 0.01590	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"B"	 0.02520	 0.02520	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"S"	 0.01880	 0.01880	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"B"	 0.02125	 0.02125	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"S"	 0.00830	 0.00830	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"B"	 0.02880	 0.02880	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"S"	 0.01530	 0.01530	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"B"	 0.07640	 0.07640	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"S"	 0.03230	 0.03230	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"B"	 0.09575	 0.09575	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"S"	 0.01570	 0.01570	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"B"	 0.05945	 0.05945	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"S"	 0.02180	 0.02180	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"B"	 0.03790	 0.03790	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"S"	 0.02660	 0.02660	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"B"	 0.04770	 0.04770	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"S"	 0.03900	 0.03900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"B"	 0.07600	 0.07600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"S"	 0.02830	 0.02830	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"B"	 0.05755	 0.05755	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"S"	 0.02520	 0.02520	" "	""	NA	""	""	""	""	""
