"station"	"date"	"layer"	"tdn..Data.values"	"tdn..Data.value2"	"tdn.remark.codes"	"tdn.value.codes"	"tdn.reporting.level"	"tdn.reporting.method"	"tdn.reporting.units"	"tdn.analyte.method"	"tdn.analyte.name"	"tdn.unique.code"
"CB3.3C"	1989-08-15	"S"	0.82000	0.82000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"B"	0.68500	0.68500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"S"	0.66000	0.66000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"B"	0.69500	0.69500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"S"	0.60000	0.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"B"	0.55500	0.55500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"S"	0.69000	0.69000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"B"	0.55000	0.55000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"S"	0.61000	0.61000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"B"	0.64500	0.64500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"S"	0.87000	0.87000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"B"	0.65500	0.65500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"S"	0.78000	0.78000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"B"	0.65500	0.65500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"S"	1.02000	1.02000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"B"	0.44500	0.44500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"S"	0.77000	0.77000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"B"	0.59500	0.59500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"S"	1.62000	1.62000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"B"	0.78000	0.78000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"S"	1.23000	1.23000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"B"	0.58000	0.58000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"S"	1.32000	1.32000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"B"	0.79000	0.79000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"S"	1.35000	1.35000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"B"	0.76500	0.76500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"S"	1.11000	1.11000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"B"	0.64000	0.64000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"S"	0.84000	0.84000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"B"	0.64000	0.64000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"S"	0.98000	0.98000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"B"	0.64500	0.64500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"S"	0.84000	0.84000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"B"	0.70000	0.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"S"	0.66000	0.66000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"B"	0.60500	0.60500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"S"	0.54000	0.54000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"B"	0.68000	0.68000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"S"	0.64000	0.64000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"B"	0.58500	0.58500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"S"	0.38000	0.38000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"B"	0.52500	0.52500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"S"	0.42000	0.42000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"B"	0.61000	0.61000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"S"	0.36000	0.36000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"B"	0.58500	0.58500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"S"	0.53000	0.53000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"B"	0.49500	0.49500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"S"	0.65000	0.65000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"B"	0.57000	0.57000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"S"	1.11000	1.11000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"B"	0.69000	0.69000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"S"	1.01000	1.01000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"B"	0.59000	0.59000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"S"	1.27000	1.27000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"B"	0.73000	0.73000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"S"	1.10000	1.10000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"B"	0.75500	0.75500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"S"	1.53000	1.53000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"B"	0.76500	0.76500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"S"	1.33000	1.33000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"B"	0.67500	0.67500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"S"	1.12000	1.12000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"B"	0.73500	0.73500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"S"	1.07000	1.07000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"B"	0.74500	0.74500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"S"	1.09000	1.09000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"B"	0.61000	0.61000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"S"	0.98000	0.98000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"B"	0.57000	0.57000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"S"	0.63000	0.63000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"B"	0.81000	0.81000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"S"	0.68000	0.68000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"B"	0.60500	0.60500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"S"	0.48000	0.48000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"B"	0.68000	0.68000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"S"	0.32000	0.32000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"B"	0.65000	0.65000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"S"	0.38000	0.38000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"B"	0.66500	0.66500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"S"	0.31000	0.31000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"B"	0.57000	0.57000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"S"	0.54000	0.54000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"B"	0.53500	0.53500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"S"	0.36000	0.36000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-17	"B"	0.43000	0.43000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-17	"S"	0.34000	0.34000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-02	"B"	0.55000	0.55000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-02	"S"	0.57000	0.57000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-15	"B"	0.47000	0.47000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-15	"S"	0.39000	0.39000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-11-05	"B"	0.50000	0.50000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-11-05	"S"	0.47000	0.47000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-12-03	"B"	0.54500	0.54500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-12-03	"S"	0.63000	0.63000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-01-07	"B"	0.42000	0.42000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-01-07	"S"	0.81000	0.81000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-02-11	"B"	0.44500	0.44500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-02-11	"S"	0.66000	0.66000	" "	""	NA	""	""	""	""	""
