"station"	"date"	"layer"	"nh4f..Data.values"	"nh4f..Data.value2"	"nh4f.remark.codes"	"nh4f.value.codes"	"nh4f.reporting.level"	"nh4f.reporting.method"	"nh4f.reporting.units"	"nh4f.analyte.method"	"nh4f.analyte.name"	"nh4f.unique.code"
"CB3.3C"	1989-05-16	"B"	 0.14550	 0.14550	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"S"	 0.09600	 0.09600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"B"	 0.27150	 0.27150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"S"	 0.01300	 0.01300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"B"	 0.39600	 0.39600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"S"	 0.02800	 0.02800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"B"	 0.41650	 0.41650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"S"	 0.00300	 0.00300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"B"	 0.50400	 0.50400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"S"	 0.02700	 0.02700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"B"	 0.42850	 0.42850	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"S"	 0.07700	 0.07700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"B"	 0.39700	 0.39700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"S"	 0.01000	 0.01000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"B"	 0.43800	 0.43800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"S"	 0.02800	 0.02800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"B"	 0.00000	 0.00300	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"S"	 0.00000	 0.00300	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"B"	 0.03050	 0.03050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"S"	 0.00400	 0.00400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"B"	 0.07400	 0.07400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"S"	 0.09900	 0.09900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"B"	 0.19900	 0.19900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"S"	 0.07600	 0.07600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"B"	 0.02950	 0.02950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"S"	 0.02200	 0.02200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"B"	 0.01750	 0.01750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"S"	 0.00000	 0.00300	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"B"	 0.15400	 0.15400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"S"	 0.24500	 0.24500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"B"	 0.15250	 0.15250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"S"	 0.13800	 0.13800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"B"	 0.12750	 0.12750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"S"	 0.09000	 0.09000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"B"	 0.30100	 0.30100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"S"	 0.14400	 0.14400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"B"	 0.23150	 0.23150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"S"	 0.06600	 0.06600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"B"	 0.20900	 0.20900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"S"	 0.02900	 0.02900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"B"	 0.25250	 0.25250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"S"	 0.10000	 0.10000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"B"	 0.33450	 0.33450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"S"	 0.05500	 0.05500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"B"	 0.37650	 0.37650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"S"	 0.02500	 0.02500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"B"	 0.40450	 0.40450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"S"	 0.07700	 0.07700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"B"	 0.46800	 0.46800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"S"	 0.01800	 0.01800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"B"	 0.23050	 0.23050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"S"	 0.00000	 0.00300	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"B"	 0.32600	 0.32600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"S"	 0.00000	 0.00300	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"B"	 0.33750	 0.33750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"S"	 0.00000	 0.00300	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"B"	 0.17300	 0.17300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"S"	 0.00000	 0.00300	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"B"	 0.10550	 0.10550	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"S"	 0.03700	 0.03700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"B"	 0.07200	 0.07200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"S"	 0.08100	 0.08100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"B"	 0.17100	 0.17100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"S"	 0.10400	 0.10400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"B"	 0.10950	 0.10950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"S"	 0.04900	 0.04900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"B"	 0.05850	 0.05850	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"S"	 0.08400	 0.08400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"B"	 0.07050	 0.07050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"S"	 0.07400	 0.07400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"B"	 0.05700	 0.05700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"S"	 0.02500	 0.02500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"B"	 0.10000	 0.10000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"S"	 0.10200	 0.10200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"B"	 0.15250	 0.15250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"S"	 0.00000	 0.00300	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"B"	 0.13100	 0.13100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"S"	 0.01600	 0.01600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"B"	 0.12550	 0.12550	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"S"	 0.00000	 0.00300	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"B"	 0.21150	 0.21150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"S"	 0.03200	 0.03200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"B"	 0.30300	 0.30300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"S"	 0.07200	 0.07200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"B"	 0.32100	 0.32100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"S"	 0.10400	 0.10400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"B"	 0.35700	 0.35700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"S"	 0.00900	 0.00900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"B"	 0.33150	 0.33150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"S"	 0.00000	 0.00300	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"B"	 0.34200	 0.34200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"S"	 0.01200	 0.01200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"B"	 0.15800	 0.15800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"S"	 0.02200	 0.02200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"B"	 0.07100	 0.07100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"S"	 0.00500	 0.00500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-17	"B"	 0.04250	 0.04250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-17	"S"	 0.00000	 0.00300	"<"	""	NA	""	""	""	""	""
