"station"	"date"	"layer"	"tss..Data.values"	"tss..Data.value2"	"tss.remark.codes"	"tss.value.codes"	"tss.reporting.level"	"tss.reporting.method"	"tss.reporting.units"	"tss.analyte.method"	"tss.analyte.name"	"tss.unique.code"
"CB3.3C"	1989-02-13	"B"	   9.15000	   9.15000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"S"	   4.20000	   4.20000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"B"	  68.70000	  68.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"S"	   6.50000	   6.50000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"B"	  40.70000	  40.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"S"	   6.40000	   6.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"B"	  41.00000	  41.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"S"	   4.20000	   4.20000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"B"	  19.00000	  19.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"S"	   4.90000	   4.90000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"B"	   8.30000	   8.30000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"S"	   9.60000	   9.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"B"	   2.80000	   2.80000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"S"	   5.70000	   5.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"B"	   3.80000	   3.80000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"S"	  12.60000	  12.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"B"	   5.55000	   5.55000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"S"	   5.30000	   5.30000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"B"	  11.95000	  11.95000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"S"	   8.90000	   8.90000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"B"	   6.00000	   6.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"S"	   5.70000	   5.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"B"	   2.15000	   3.15000	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"S"	  12.60000	  12.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"B"	   4.45000	   4.45000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"S"	   6.50000	   6.50000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"B"	  17.65000	  17.65000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"S"	   5.90000	   5.90000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"B"	  14.60000	  14.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"S"	   5.20000	   5.20000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"B"	  15.05000	  15.05000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"S"	   4.60000	   4.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"B"	  20.65000	  20.65000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"S"	   5.60000	   5.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"B"	  58.15000	  58.15000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"S"	   5.90000	   5.90000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"B"	  75.40000	  75.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"S"	   4.80000	   4.80000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"B"	  30.15000	  30.15000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"S"	   8.70000	   8.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"B"	  20.25000	  20.25000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"S"	   7.30000	   7.30000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"B"	  23.00000	  23.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"S"	  21.50000	  21.50000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"B"	  50.10000	  50.10000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"S"	   7.60000	   7.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"B"	  40.10000	  40.10000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"S"	   8.10000	   8.10000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"B"	   5.70000	   5.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"S"	   5.00000	   5.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"B"	 103.25000	 103.25000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"S"	   5.30000	   5.30000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"B"	   5.00000	   5.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"S"	   8.40000	   8.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"B"	  22.46000	  22.46000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"S"	   5.90000	   5.90000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"B"	   8.50000	   8.50000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"S"	   8.60000	   8.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"B"	   2.85000	   2.85000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"S"	   6.00000	   6.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"B"	   6.95000	   6.95000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"S"	   8.60000	   8.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"B"	   5.60000	   5.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"S"	   9.70000	   9.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"B"	   4.25000	   4.25000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"S"	   6.70000	   6.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"B"	   6.00000	   6.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"S"	   8.70000	   8.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"B"	  19.60000	  19.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"S"	   7.00000	   7.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"B"	  20.85000	  20.85000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"S"	   9.40000	   9.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"B"	  27.60000	  27.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"S"	   5.80000	   5.80000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"B"	  77.85000	  77.85000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"S"	   5.70000	   5.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"B"	  20.70000	  20.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"S"	   6.70000	   6.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"B"	  25.70000	  25.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"S"	   8.90000	   8.90000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"B"	  59.60000	  59.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"S"	  12.40000	  12.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"B"	  11.70000	  11.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"S"	   8.10000	   8.10000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"B"	  14.80000	  14.80000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"S"	   9.40000	   9.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"B"	  27.30000	  27.30000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"S"	  10.10000	  10.10000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"B"	  14.90000	  14.90000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"S"	   9.70000	   9.70000	" "	""	NA	""	""	""	""	""
