"station"	"date"	"layer"	"tn..Data.values"	"tn..Data.value2"	"tn.remark.codes"	"tn.value.codes"	"tn.reporting.level"	"tn.reporting.method"	"tn.reporting.units"	"tn.analyte.method"	"tn.analyte.name"	"tn.unique.code"
"CB3.3C"	1990-03-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"B"	1.060000	1.060000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"S"	1.490000	1.490000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"B"	1.207500	1.207500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"S"	1.537000	1.537000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"B"	1.000000	1.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"S"	1.310000	1.310000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"B"	0.742050	0.742050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"S"	1.004000	1.004000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"S"	1.073500	1.073500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"B"	0.716750	0.716750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"S"	1.002000	1.002000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"B"	0.710500	0.710500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"S"	1.001000	1.001000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"B"	0.670450	0.670450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"S"	1.036000	1.036000	" "	""	NA	""	""	""	""	""
