"station"	"date"	"layer"	"secchi..Data.values"	"secchi..Data.value2"	"secchi.remark.codes"	"secchi.value.codes"	"secchi.reporting.level"	"secchi.reporting.method"	"secchi.reporting.units"	"secchi.analyte.method"	"secchi.analyte.name"	"secchi.unique.code"
"CB3.3C"	1987-10-20	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"S"	2.20	2.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"S"	2.00	2.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"S"	2.50	2.50	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"S"	1.90	1.90	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"S"	1.10	1.10	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"S"	1.10	1.10	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"S"	1.10	1.10	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"S"	0.90	0.90	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"S"	0.60	0.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"S"	1.80	1.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"S"	4.00	4.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"S"	2.40	2.40	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"S"	1.80	1.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"S"	2.70	2.70	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"S"	1.80	1.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"S"	2.20	2.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"S"	0.70	0.70	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"S"	0.50	0.50	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"S"	0.60	0.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
